2016-08-18 12:17:31,539 | WARN  | entLoopGroup-9-2 | ListDeserializer                 | 170 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 35 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
2016-08-18 12:17:31,540 | WARN  | entLoopGroup-9-2 | ListDeserializer                 | 170 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 31 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
2016-08-18 12:17:31,541 | WARN  | entLoopGroup-9-2 | ListDeserializer                 | 170 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 31 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
2016-08-18 12:17:31,541 | WARN  | entLoopGroup-9-2 | ListDeserializer                 | 170 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 31 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
2016-08-18 12:17:31,542 | WARN  | entLoopGroup-9-2 | ListDeserializer                 | 170 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 31 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
2016-08-18 12:17:31,543 | WARN  | entLoopGroup-9-2 | ListDeserializer                 | 170 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 35 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
2016-08-18 12:17:31,544 | WARN  | entLoopGroup-9-2 | ListDeserializer                 | 170 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 35 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
2016-08-18 12:17:31,545 | WARN  | entLoopGroup-9-2 | ListDeserializer                 | 170 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 31 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
2016-08-18 12:17:31,546 | WARN  | entLoopGroup-9-2 | ListDeserializer                 | 170 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 31 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
2016-08-18 12:17:31,546 | WARN  | entLoopGroup-9-2 | ListDeserializer                 | 170 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 31 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
2016-08-18 12:17:31,547 | WARN  | entLoopGroup-9-2 | ListDeserializer                 | 170 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 31 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
2016-08-18 12:17:31,548 | WARN  | entLoopGroup-9-2 | ListDeserializer                 | 170 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 35 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
2016-08-18 12:17:31,548 | WARN  | entLoopGroup-9-2 | ListDeserializer                 | 170 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 35 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
2016-08-18 12:17:31,549 | WARN  | entLoopGroup-9-2 | ListDeserializer                 | 170 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 31 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
2016-08-18 12:17:31,550 | WARN  | entLoopGroup-9-2 | ListDeserializer                 | 170 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 31 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
2016-08-18 12:17:31,560 | WARN  | entLoopGroup-9-2 | ListDeserializer                 | 170 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 31 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
