2016-08-23 10:48:55,953 | WARN  | ntLoopGroup-11-3 | ListDeserializer                 | 288 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron-RC1 | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 31 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
2016-08-23 10:48:55,954 | WARN  | ntLoopGroup-11-3 | ListDeserializer                 | 288 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron-RC1 | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 31 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
2016-08-23 10:48:55,955 | WARN  | ntLoopGroup-11-3 | ListDeserializer                 | 288 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron-RC1 | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 35 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
2016-08-23 10:48:55,956 | WARN  | ntLoopGroup-11-3 | ListDeserializer                 | 288 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron-RC1 | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 35 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
2016-08-23 10:48:55,956 | WARN  | ntLoopGroup-11-3 | ListDeserializer                 | 288 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron-RC1 | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 31 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
2016-08-23 10:48:55,957 | WARN  | ntLoopGroup-11-3 | ListDeserializer                 | 288 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron-RC1 | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 31 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
2016-08-23 10:48:55,958 | WARN  | ntLoopGroup-11-3 | ListDeserializer                 | 288 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron-RC1 | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 31 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
2016-08-23 10:48:55,959 | WARN  | ntLoopGroup-11-3 | ListDeserializer                 | 288 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron-RC1 | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 31 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
2016-08-23 10:48:55,959 | WARN  | ntLoopGroup-11-3 | ListDeserializer                 | 288 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron-RC1 | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 35 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
2016-08-23 10:48:55,960 | WARN  | ntLoopGroup-11-3 | ListDeserializer                 | 288 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron-RC1 | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 35 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
2016-08-23 10:48:55,961 | WARN  | ntLoopGroup-11-3 | ListDeserializer                 | 288 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron-RC1 | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 31 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
2016-08-23 10:48:55,962 | WARN  | ntLoopGroup-11-3 | ListDeserializer                 | 288 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron-RC1 | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 31 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
2016-08-23 10:48:55,962 | WARN  | ntLoopGroup-11-3 | ListDeserializer                 | 288 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron-RC1 | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 31 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
2016-08-23 10:48:55,963 | WARN  | ntLoopGroup-11-3 | ListDeserializer                 | 288 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron-RC1 | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 31 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
2016-08-23 10:48:55,964 | WARN  | ntLoopGroup-11-3 | ListDeserializer                 | 288 - org.opendaylight.openflowjava.openflow-protocol-impl - 0.8.0.Boron-RC1 | Problem during reading table feature property. Skipping unknown feature property: msgVersion: 4 objectClass: org.opendaylight.yang.gen.v1.urn.opendaylight.openflow.oxm.rev150225.match.entries.grouping.MatchEntry msgType: 1 oxm_field: 35 experimenterID: null.If more information is needed, set org.opendaylight.openflowjava do DEBUG log level.
